backbone,base_method,top1_accuracy_mean,top1_accuracy_std,ece_15bins_percent_mean,ece_15bins_percent_std,mce_15bins_percent_mean,mce_15bins_percent_std,mean_mutual_info_mean,mean_mutual_info_std,mean_ucb_score_mean,mean_ucb_score_std,auroc_combined_mean,auroc_combined_std
vit_base_patch16_224,ucdpa_sens_tauc_0.3,66.71,5.724271482031576,6.982532340026149,2.392307275439575,13.550144672434469,3.0518074302980724,0.4335457936396077,0.07200391156949991,0.8993466528436045,0.021285947380391374,0.8467476761948278,0.0069486905217548516
vit_base_patch16_224,ucdpa_sens_tauc_0.5,71.121,11.320779566796611,3.840752198276573,3.7411645258074873,8.33382881272994,5.802688446773787,0.5286055412074935,0.05350093488535363,0.788146020852552,0.08552334318159747,0.8503063501560499,0.006752052805859337
vit_base_patch16_224,ucdpa_sens_tauc_0.7,68.60933333333334,6.117967745365563,3.9017985508344126,1.5165312399012454,8.232307211394925,2.3924962861599894,0.6867634172536595,0.12470430935089807,0.5653134723038874,0.06144122846616416,0.8506891095038481,0.0066924208451485225
vit_base_patch16_224,ucdpa_sens_tauc_0.8,71.763,10.899343925209449,3.1089402818721723,0.025663458255807327,6.561996848610349,0.7778170164326177,0.9052993832750804,0.2507729221289776,0.41693095596659535,0.12612384039705488,0.8537131511954263,0.0057081099008523765
vit_base_patch16_224,ucdpa_sens_tauc_0.9,68.75999999999999,6.065823274708885,4.576374468999606,0.928470933113098,8.95771153958993,0.12483550413778748,1.1999864440148207,0.1711577881166061,0.20171981223298321,0.04430254506282702,0.8499260793061388,0.010106169947162607
vit_base_patch16_224,ucdpa_sens_tauu_0.1,71.684,10.849846450526387,2.7375892837841542,1.4566032698525675,7.705397697593313,1.1140544407096487,0.7071357686233893,0.15295962373864064,0.5844680848862307,0.11743287361162764,0.8524380914442609,0.006235270541162194
vit_base_patch16_224,ucdpa_sens_tauu_0.2,68.61399999999999,6.11154841263652,3.8906078621107145,1.5092223023565403,8.211875046812374,2.633169451037905,0.6860321822520703,0.12463828414493842,0.5660167285285279,0.06143416048845573,0.8506388053957771,0.006704630474280323
vit_base_patch16_224,ucdpa_sens_tauu_0.3,71.689,10.865402799712484,2.7383133298400795,1.4475700723969833,7.688220333804534,1.14142524749311,0.7080118710942589,0.15330686840819482,0.583453154622125,0.11738527955264484,0.8524415930112489,0.006010747453857793
vit_base_patch16_224,ucdpa_sens_tauu_0.4,71.30199999999999,7.335793708477172,3.3541256987887893,1.631673003507752,8.316222845902072,2.024601120190959,0.6664933922758332,0.11110578357688256,0.5886337118032079,0.07116537955198822,0.8522056364582214,0.006282493333340618
vit_base_patch16_224,ucdpa_sens_tauu_0.5,69.86999999999999,7.142230323925434,3.4120821053866295,1.4140560651148817,8.04842532109556,1.7750454461493654,0.7015702880504258,0.11954452020393139,0.5653389454884865,0.07375248446980612,0.8512779941951181,0.005678098256230076
